employee_id,name,age,salary,join_date,department,gender,country,city,weight_kg,is_active,review,price,target
12369,Hasan D.,42,35149.0,2023-05-30,Sales,Male,United States,Sylhet,118.4,False,Good value for money.,219.18,0
7361,Grace P.,42,77836.0,2017-02-27,Engineering,Female,United States,Chittagong,71.0,True,Product met all expectations.,329.26,0
3446,Eve D.,20,35404.0,2022-01-18,HR,Male,Bangladesh,Chittagong,98.7,False,Very satisfied with the quality.,438.6,0
18416,Diana E.,47,107375.0,2017-04-15,Marketing,Male,United Kingdom,Khulna,86.6,False,Delivery was fast and packaging great.,238.03,0
13677,Ira W.,64,55962.0,2021-11-02,Sales,Female,United Kingdom,Dhaka,83.5,False,Would buy again without hesitation.,9.4,0
458,Frank Y.,38,88527.0,2022-08-16,Marketing,Male,United Kingdom,Sylhet,95.8,True,"Excellent product, highly recommend!",213.25,0
16484,John Q.,25,109079.0,2020-09-10,HR,Female,United States,Chittagong,125.2,False,Delivery was fast and packaging great.,19.35,0
12951,Charlie K.,22,91118.0,2010-01-12,Finance,Female,United Kingdom,Rajshahi,87.9,False,Delivery was fast and packaging great.,419.0,0
13108,Diana V.,43,88859.0,2016-07-21,Marketing,Male,United States,Khulna,73.8,True,No Review,430.17,0
14925,Alice C.,42,46627.0,2012-01-12,Sales,Female,United States,Khulna,110.7,False,Very satisfied with the quality.,429.27,0
10417,Hasan D.,44,70027.0,2020-08-24,Engineering,Female,United Kingdom,Sylhet,115.9,False,Delivery was fast and packaging great.,128.46,0
13797,John G.,39,89568.0,2011-11-07,Engineering,Female,Bangladesh,Chittagong,112.7,True,Would buy again without hesitation.,448.71,1
2158,Grace M.,51,80277.0,2011-03-10,Finance,Male,Bangladesh,Dhaka,64.0,False,Good value for money.,285.54,0
13334,Hasan L.,50,41141.0,2021-11-19,Finance,Female,United Kingdom,Khulna,104.9,True,Very satisfied with the quality.,302.48,0
3800,Bob I.,19,119822.0,2012-03-08,Sales,Female,United States,Chittagong,52.0,True,Good value for money.,366.72,0
3555,Charlie R.,60,32456.0,2015-02-06,Engineering,Female,United States,Rajshahi,78.3,True,Delivery was fast and packaging great.,393.84,0
4901,Hasan M.,24,33558.0,2017-03-06,Marketing,Female,United States,Khulna,121.2,False,No Review,73.45,0
317,Charlie B.,46,93280.0,2020-08-20,Engineering,Female,United States,Sylhet,102.8,True,Delivery was fast and packaging great.,67.27,0
9057,Hasan S.,35,58839.0,2023-03-06,HR,Male,United States,Khulna,123.6,True,Product met all expectations.,159.79,0
18372,Diana O.,42,40721.0,2016-11-28,HR,Male,United States,Khulna,74.6,True,Product met all expectations.,250.1,0
6499,Grace R.,31,71553.0,2014-08-17,Marketing,Female,Bangladesh,Khulna,73.5,True,Would buy again without hesitation.,250.1,0
6603,Grace O.,52,102031.0,2016-11-24,Finance,Male,United States,Rajshahi,83.1,False,Very satisfied with the quality.,255.73,0
18274,John Z.,60,100843.0,2022-10-21,Finance,Male,Bangladesh,Khulna,118.0,True,No Review,373.1,0
1085,Ira K.,24,85159.0,2013-12-11,HR,Male,Bangladesh,Chittagong,120.0,False,Delivery was fast and packaging great.,168.77,0
14500,John L.,36,59685.0,2022-05-28,Finance,Female,United Kingdom,Chittagong,61.9,True,Delivery was fast and packaging great.,474.57,0
12508,Hasan K.,42,87774.0,2016-03-10,HR,Female,United Kingdom,Khulna,121.9,True,Delivery was fast and packaging great.,154.41,1
17065,Frank X.,18,74804.0,2016-11-11,Sales,Female,United States,Khulna,102.6,False,Product met all expectations.,198.44,0
3529,Alice T.,32,75126.0,2019-10-22,Sales,Male,United States,Chittagong,68.1,False,Very satisfied with the quality.,6.05,1
12016,Diana M.,55,108592.0,2016-11-16,HR,Male,Bangladesh,Khulna,92.6,True,Product met all expectations.,478.86,0
250,Frank U.,56,90635.0,2013-05-12,Sales,Male,Bangladesh,Dhaka,107.3,False,Would buy again without hesitation.,342.24,1
16479,Ira A.,39,104221.0,2019-01-20,Sales,Male,United States,Rajshahi,50.5,True,Would buy again without hesitation.,276.95,0
6024,Hasan F.,23,44772.0,2019-11-04,Finance,Male,United States,Rajshahi,125.3,False,No Review,302.35,0
18817,Ira Z.,53,102244.0,2020-06-05,Sales,Female,United States,Sylhet,62.5,False,Very satisfied with the quality.,317.36,0
16010,Grace Q.,23,61246.0,2012-07-05,Finance,Female,United States,Dhaka,98.8,False,Very satisfied with the quality.,388.1,0
1453,Grace J.,46,106907.0,2022-11-03,Sales,Female,United States,Chittagong,65.2,False,Very satisfied with the quality.,87.2,0
19202,Grace W.,61,41850.0,2014-09-02,HR,Male,Bangladesh,Sylhet,97.8,True,Very satisfied with the quality.,145.38,0
2911,Alice S.,31,88711.0,2019-02-01,Finance,Male,United States,Sylhet,50.2,False,"Excellent product, highly recommend!",22.27,0
8597,John F.,62,77669.0,2019-02-01,Sales,Male,Bangladesh,Sylhet,128.3,False,"Excellent product, highly recommend!",396.85,0
5981,Diana E.,60,41156.0,2014-09-09,Finance,Female,United States,Sylhet,74.0,False,No Review,78.03,0
945,Bob A.,41,77313.0,2012-04-03,HR,Female,Bangladesh,Khulna,65.8,False,Product met all expectations.,151.15,0
49,John L.,58,50810.0,2024-07-22,HR,Female,United Kingdom,Dhaka,108.8,False,"Excellent product, highly recommend!",83.46,0
13596,Alice P.,57,81158.0,2016-09-29,Finance,Female,United States,Sylhet,108.5,False,Product met all expectations.,401.52,0
2417,Diana D.,34,52604.0,2016-07-13,Engineering,Male,United Kingdom,Dhaka,118.4,False,No Review,142.85,0
16094,Eve B.,62,81806.0,2017-12-07,Finance,Female,United States,Chittagong,70.3,True,Would buy again without hesitation.,321.32,0
6213,Hasan Q.,30,77025.0,2018-04-07,Marketing,Male,United States,Chittagong,77.0,True,Would buy again without hesitation.,337.33,0
11384,Alice O.,42,86613.0,2017-06-30,Sales,Male,United Kingdom,Rajshahi,104.0,True,No Review,444.08,0
11909,Diana V.,41,47789.0,2014-02-20,Engineering,Male,United States,Khulna,111.9,True,Product met all expectations.,496.46,0
3453,Eve H.,25,62659.0,2018-06-11,Marketing,Female,United States,Chittagong,129.0,True,Delivery was fast and packaging great.,405.09,0
13959,John H.,42,165339.5,2022-11-22,Marketing,Male,United States,Dhaka,55.2,False,Good value for money.,250.1,0
679,Alice S.,54,33282.0,2021-07-20,Sales,Male,United States,Dhaka,78.2,False,"Excellent product, highly recommend!",100.6,1
8847,Bob Q.,46,109817.0,2018-06-25,Engineering,Male,United Kingdom,Sylhet,53.7,True,Good value for money.,320.08,0
11964,Grace T.,55,89090.0,2015-08-26,Sales,Male,United Kingdom,Sylhet,108.0,False,No Review,136.91,0
1957,Hasan I.,42,89765.0,2023-11-15,Finance,Male,United Kingdom,Rajshahi,121.0,False,Would buy again without hesitation.,250.1,0
10075,Grace D.,44,118506.0,2022-09-21,Finance,Male,Bangladesh,Khulna,113.2,True,No Review,192.94,1
13007,Ira W.,58,54515.0,2020-06-20,Finance,Male,Bangladesh,Sylhet,98.4,False,Very satisfied with the quality.,474.02,1
12691,Bob U.,23,75126.0,2024-09-20,Sales,Female,United States,Rajshahi,59.6,True,Good value for money.,259.36,0
5824,Charlie W.,50,67807.0,2017-03-29,Sales,Male,United States,Dhaka,53.3,True,Product met all expectations.,264.36,0
2089,Alice U.,28,114661.0,2021-03-14,Finance,Female,Bangladesh,Sylhet,123.8,True,Delivery was fast and packaging great.,129.64,0
11320,Eve P.,61,72620.0,2016-03-06,Marketing,Male,United Kingdom,Sylhet,107.9,True,Would buy again without hesitation.,33.77,0
11929,John W.,32,76958.0,2017-11-06,HR,Female,United Kingdom,Sylhet,86.4,True,Would buy again without hesitation.,186.83,0
12121,Grace A.,42,87395.0,2015-10-29,HR,Male,Bangladesh,Sylhet,58.1,True,No Review,13.31,0
8075,Hasan I.,64,116574.0,2010-01-27,Marketing,Male,Bangladesh,Sylhet,52.2,True,Product met all expectations.,340.53,0
5519,Grace O.,44,75126.0,2016-04-13,HR,Male,United States,Dhaka,87.9,False,Would buy again without hesitation.,422.01,0
7172,Diana E.,42,59064.0,2013-11-27,HR,Male,United States,Khulna,109.6,False,Delivery was fast and packaging great.,343.66,0
1004,John P.,62,116319.0,2010-04-11,Finance,Male,United States,Rajshahi,60.4,True,Product met all expectations.,250.1,0
1579,Eve K.,34,75126.0,2024-01-25,Sales,Female,United States,Sylhet,98.0,False,Good value for money.,250.1,0
15686,Charlie I.,26,32348.0,2024-11-15,Sales,Female,Bangladesh,Khulna,105.5,True,Very satisfied with the quality.,219.28,0
13401,Diana R.,42,44491.0,2018-09-16,HR,Female,United States,Dhaka,100.5,True,Product met all expectations.,447.38,1
13337,Bob G.,63,93262.0,2016-04-04,Engineering,Female,Bangladesh,Dhaka,120.0,True,"Excellent product, highly recommend!",250.1,0
11618,Eve H.,26,67244.0,2024-01-17,Sales,Male,Bangladesh,Sylhet,121.7,False,Very satisfied with the quality.,193.64,0
16936,Diana F.,65,61003.0,2023-06-02,Engineering,Male,United States,Khulna,53.9,False,Delivery was fast and packaging great.,471.47,0
17902,Alice I.,32,59650.0,2020-04-26,HR,Female,Bangladesh,Rajshahi,100.4,False,Would buy again without hesitation.,340.32,0
7852,Alice X.,36,83430.0,2013-10-05,HR,Female,United States,Rajshahi,93.6,True,No Review,374.55,0
13466,John V.,21,75126.0,2012-07-20,Engineering,Female,Bangladesh,Khulna,95.8,False,Very satisfied with the quality.,270.13,0
16635,Eve F.,26,51320.0,2013-12-24,Engineering,Male,Bangladesh,Sylhet,105.7,False,Product met all expectations.,251.75,0
48,Ira E.,42,101013.0,2013-08-28,Engineering,Male,Bangladesh,Dhaka,115.0,False,Good value for money.,318.78,0
13167,John I.,22,103498.0,2020-11-21,Engineering,Female,United States,Dhaka,48.5,False,Very satisfied with the quality.,171.5,0
7396,John N.,50,30614.0,2013-10-04,Sales,Male,Bangladesh,Dhaka,129.6,False,No Review,484.89,0
1491,Hasan D.,60,97526.0,2018-02-10,HR,Male,United States,Khulna,61.6,False,No Review,259.99,0
8084,Alice S.,22,103583.0,2017-06-30,Engineering,Male,Bangladesh,Chittagong,100.0,False,No Review,112.24,0
7525,Eve C.,18,114059.0,2015-10-30,Marketing,Male,United States,Dhaka,122.9,False,Would buy again without hesitation.,68.81,0
18126,Frank K.,45,71451.0,2012-10-15,Marketing,Male,United States,Rajshahi,45.2,False,Delivery was fast and packaging great.,390.44,0
4349,Eve C.,48,107269.0,2011-05-16,Marketing,Female,United States,Khulna,77.8,True,Product met all expectations.,334.78,0
10449,Eve B.,49,52547.0,2013-01-18,Marketing,Male,United States,Dhaka,46.9,False,Delivery was fast and packaging great.,39.29,0
6658,Hasan T.,32,71777.0,2015-11-04,Engineering,Female,Bangladesh,Rajshahi,115.9,True,Very satisfied with the quality.,454.49,0
7283,Grace H.,58,38734.0,2019-12-08,HR,Female,Bangladesh,Sylhet,96.3,False,Good value for money.,480.21,0
19931,Frank M.,28,80526.0,2015-07-08,Sales,Female,United Kingdom,Khulna,46.9,False,Would buy again without hesitation.,437.55,0
9199,Hasan F.,31,32158.0,2015-07-28,Marketing,Male,Bangladesh,Chittagong,122.5,False,"Excellent product, highly recommend!",20.07,0
12895,Grace C.,51,95849.0,2011-01-01,Marketing,Female,United States,Sylhet,86.0,False,Delivery was fast and packaging great.,213.0,0
16626,Hasan C.,39,98588.0,2018-03-04,Engineering,Female,United Kingdom,Sylhet,72.9,True,Good value for money.,61.23,0
5872,Ira O.,26,94765.0,2016-07-19,Finance,Female,Bangladesh,Rajshahi,84.8,False,Delivery was fast and packaging great.,137.22,0
16355,Grace A.,36,115296.0,2012-09-09,HR,Male,United Kingdom,Chittagong,71.9,True,Product met all expectations.,311.67,0
4093,Diana N.,36,91952.0,2012-05-09,Engineering,Female,United States,Dhaka,75.7,False,Would buy again without hesitation.,95.03,0
10055,Bob E.,30,52760.0,2013-07-01,Sales,Male,United States,Khulna,126.3,False,Very satisfied with the quality.,37.23,0
18335,Frank S.,18,93894.0,2016-01-05,Sales,Male,Bangladesh,Chittagong,102.5,True,Product met all expectations.,189.29,0
18619,Alice J.,61,63196.0,2014-10-14,Sales,Male,United States,Chittagong,110.3,False,Would buy again without hesitation.,28.71,0
15397,Eve X.,52,100121.0,2013-10-22,Sales,Male,Bangladesh,Khulna,115.5,True,Good value for money.,239.81,0
3,Ira H.,51,92138.0,2022-06-11,Finance,Male,United States,Khulna,62.0,False,Very satisfied with the quality.,57.87,0
15424,Diana R.,52,86047.0,2018-03-08,Engineering,Female,Bangladesh,Rajshahi,85.9,False,Would buy again without hesitation.,66.36,0
13661,Charlie T.,64,50196.0,2015-08-29,Engineering,Male,United States,Rajshahi,97.3,True,Good value for money.,249.81,0
5019,Bob J.,41,108292.0,2020-11-19,HR,Female,United States,Khulna,48.8,True,Product met all expectations.,78.32,0
2590,John H.,42,90436.0,2017-11-27,Finance,Male,United States,Sylhet,62.5,False,Delivery was fast and packaging great.,393.67,0
2314,Hasan T.,48,87976.0,2019-05-28,Engineering,Female,United States,Khulna,128.2,False,Product met all expectations.,304.52,0
5992,Bob I.,57,102038.0,2017-06-30,Finance,Male,United States,Rajshahi,45.6,True,Very satisfied with the quality.,145.04,0
14152,Eve A.,52,56265.0,2016-11-16,Marketing,Female,United Kingdom,Chittagong,120.7,False,Good value for money.,79.53,0
12463,Diana I.,24,75126.0,2023-06-05,HR,Female,Bangladesh,Dhaka,57.5,False,Very satisfied with the quality.,250.1,1
14789,Frank Y.,20,99024.0,2014-07-28,Engineering,Female,United Kingdom,Rajshahi,101.5,False,"Excellent product, highly recommend!",238.17,0
4060,Alice X.,23,98596.0,2024-10-01,Sales,Female,United States,Sylhet,90.0,False,Very satisfied with the quality.,243.32,1
18250,Frank D.,30,105097.0,2019-08-20,Engineering,Male,Bangladesh,Sylhet,128.9,True,Would buy again without hesitation.,90.87,0
8902,Grace Z.,56,59116.0,2015-03-21,Marketing,Male,United States,Rajshahi,102.1,True,Would buy again without hesitation.,110.36,0
1185,Diana H.,56,59079.0,2012-03-04,Sales,Male,United States,Chittagong,60.0,False,Product met all expectations.,190.42,0
2747,Charlie L.,40,60409.0,2015-11-25,Engineering,Female,United States,Sylhet,123.0,True,"Excellent product, highly recommend!",405.17,0
5758,Bob N.,22,95964.0,2024-01-16,HR,Male,Bangladesh,Khulna,116.2,True,Good value for money.,333.39,0
16290,Grace R.,60,37882.0,2021-08-15,Sales,Female,United States,Rajshahi,60.7,True,Product met all expectations.,291.44,0
13110,Charlie X.,50,49466.0,2022-03-24,Sales,Female,United Kingdom,Sylhet,93.4,False,Delivery was fast and packaging great.,217.58,0
16035,Hasan V.,53,75126.0,2017-03-01,Marketing,Female,Bangladesh,Chittagong,48.2,False,Product met all expectations.,385.13,0
5192,Grace Q.,35,113301.0,2022-12-19,HR,Male,Bangladesh,Rajshahi,83.0,False,No Review,249.14,0
6979,Charlie Q.,44,75126.0,2014-03-06,Engineering,Female,United States,Sylhet,47.5,True,No Review,113.31,0
2997,Hasan S.,62,112754.0,2014-07-02,Marketing,Female,United Kingdom,Rajshahi,100.0,True,"Excellent product, highly recommend!",158.09,0
10229,Eve C.,63,30490.0,2023-12-11,HR,Male,United States,Sylhet,81.3,True,Very satisfied with the quality.,420.64,0
11759,Alice B.,20,109515.0,2011-09-30,Marketing,Male,United States,Chittagong,91.9,False,No Review,183.62,0
4128,Charlie V.,42,73617.0,2013-10-27,HR,Male,United States,Dhaka,96.9,False,Delivery was fast and packaging great.,59.31,0
3727,Charlie M.,52,78634.0,2012-08-19,Engineering,Female,United States,Sylhet,84.8,True,Product met all expectations.,153.64,0
8387,Alice Y.,30,50527.0,2020-11-25,Sales,Female,United Kingdom,Chittagong,115.0,True,Product met all expectations.,250.1,1
6839,Grace X.,42,84114.0,2020-06-25,HR,Female,United States,Chittagong,126.6,True,Very satisfied with the quality.,434.74,0
4130,Eve D.,42,44735.0,2015-05-31,Engineering,Female,Bangladesh,Rajshahi,108.4,False,Delivery was fast and packaging great.,251.04,0
541,Ira B.,38,31297.0,2017-08-10,Finance,Male,United States,Rajshahi,89.0,True,No Review,226.51,1
6284,Bob E.,50,78938.0,2020-10-24,Marketing,Male,Bangladesh,Rajshahi,74.4,True,No Review,82.51,0
1392,Frank I.,45,80966.0,2017-06-30,HR,Male,Bangladesh,Khulna,49.5,False,"Excellent product, highly recommend!",452.4,0
19077,Diana E.,52,77816.0,2020-08-15,Engineering,Male,United States,Rajshahi,114.5,True,Good value for money.,468.86,0
1113,Frank H.,33,114401.0,2023-02-16,Finance,Male,Bangladesh,Dhaka,104.0,True,Very satisfied with the quality.,195.08,0
7997,Eve S.,49,56282.0,2018-01-09,Sales,Male,United States,Dhaka,65.7,False,No Review,18.22,0
15222,Eve G.,61,52093.0,2011-10-05,Marketing,Male,United States,Chittagong,86.6,False,Very satisfied with the quality.,97.61,0
14049,Ira K.,56,112921.0,2019-01-14,Finance,Female,Bangladesh,Chittagong,48.2,True,Delivery was fast and packaging great.,201.2,0
18873,Eve X.,34,59343.0,2017-06-30,Engineering,Male,Bangladesh,Dhaka,50.4,True,Very satisfied with the quality.,417.23,0
12850,Ira Q.,51,37287.0,2010-03-12,Marketing,Female,United Kingdom,Chittagong,124.9,False,Very satisfied with the quality.,141.0,0
2458,Ira B.,62,60399.0,2010-04-11,Finance,Male,Bangladesh,Chittagong,118.1,True,Would buy again without hesitation.,469.94,0
13357,Grace M.,32,114893.0,2011-08-02,HR,Female,Bangladesh,Chittagong,56.4,False,Good value for money.,380.01,0
17203,Grace J.,35,89819.0,2022-05-16,Marketing,Male,United States,Chittagong,66.8,False,No Review,99.54,0
18798,John Q.,58,103402.0,2018-06-08,Sales,Female,United States,Sylhet,116.8,True,Delivery was fast and packaging great.,63.6,0
5679,Ira C.,21,74665.0,2016-06-04,Engineering,Female,Bangladesh,Dhaka,83.5,False,Product met all expectations.,497.81,0
11739,Charlie R.,41,117077.0,2014-11-19,Engineering,Female,Bangladesh,Chittagong,80.3,False,No Review,30.93,0
6266,Hasan U.,42,64846.0,2021-02-09,Engineering,Male,Bangladesh,Dhaka,49.4,True,Delivery was fast and packaging great.,346.91,0
13682,Diana K.,35,89922.0,2023-11-11,Sales,Male,United Kingdom,Chittagong,112.6,False,Delivery was fast and packaging great.,175.86,0
2870,Eve U.,45,101753.0,2023-02-13,Sales,Female,United Kingdom,Dhaka,75.1,True,Product met all expectations.,264.56,0
8164,Diana I.,44,112673.0,2015-04-18,Sales,Female,United States,Khulna,101.1,True,Good value for money.,276.06,0
5522,John M.,45,107410.0,2015-09-23,Engineering,Female,United States,Rajshahi,101.9,True,No Review,467.09,0
7045,Grace A.,19,96566.0,2024-09-05,Sales,Male,United States,Rajshahi,60.4,True,Delivery was fast and packaging great.,250.1,0
8245,Diana T.,50,107369.0,2024-02-21,Engineering,Male,Bangladesh,Chittagong,45.5,False,Product met all expectations.,293.92,0
5094,John L.,37,88217.0,2019-01-09,Sales,Male,United Kingdom,Dhaka,124.1,False,Good value for money.,412.3,0
6779,Ira F.,57,84733.0,2012-03-26,Finance,Male,United States,Chittagong,77.0,False,Product met all expectations.,86.12,1
17023,Frank P.,27,63965.0,2012-05-03,Engineering,Female,United States,Khulna,90.2,True,Delivery was fast and packaging great.,486.67,0
8493,Frank G.,41,63465.0,2015-08-13,Finance,Male,Bangladesh,Rajshahi,72.1,False,Would buy again without hesitation.,55.31,0
4037,Grace Y.,42,61289.0,2015-10-20,Engineering,Female,United States,Sylhet,48.8,False,Delivery was fast and packaging great.,464.24,1
1235,Charlie G.,62,67374.0,2013-08-19,Engineering,Female,Bangladesh,Khulna,93.7,True,No Review,76.41,0
2239,Frank M.,45,66203.0,2011-08-21,Sales,Female,Bangladesh,Rajshahi,110.7,True,"Excellent product, highly recommend!",71.04,0
2686,Hasan R.,64,104766.0,2018-02-07,Sales,Female,United Kingdom,Sylhet,128.8,False,Very satisfied with the quality.,454.56,0
13556,Bob R.,18,47609.0,2023-09-04,Finance,Female,United States,Dhaka,117.0,False,Product met all expectations.,61.21,0
461,Bob T.,50,78015.0,2014-07-30,Finance,Female,United States,Dhaka,92.0,False,Very satisfied with the quality.,191.85,0
7657,Eve E.,54,53291.0,2021-04-21,Marketing,Female,Bangladesh,Rajshahi,86.6,False,"Excellent product, highly recommend!",352.8,0
11235,Diana I.,26,42562.0,2011-08-08,Finance,Female,Bangladesh,Sylhet,123.2,True,"Excellent product, highly recommend!",294.21,0
14066,Charlie U.,43,68188.0,2011-07-23,Marketing,Female,United States,Sylhet,74.7,True,Product met all expectations.,127.86,0
11499,Frank K.,42,38414.0,2020-10-01,Finance,Male,United States,Dhaka,124.4,True,Delivery was fast and packaging great.,211.96,0
15607,Eve M.,62,117391.0,2024-05-20,Engineering,Male,Bangladesh,Dhaka,129.8,True,Product met all expectations.,217.83,0
14903,Hasan P.,51,115761.0,2013-12-18,Marketing,Male,Bangladesh,Rajshahi,118.6,True,Very satisfied with the quality.,27.1,0
4165,John M.,48,113670.0,2021-04-18,Finance,Female,Bangladesh,Chittagong,67.1,False,Very satisfied with the quality.,441.61,0
18399,Frank R.,42,60963.0,2012-04-06,Sales,Male,United States,Khulna,69.9,False,No Review,448.53,0
6736,Charlie Q.,61,71850.0,2021-08-11,Marketing,Male,United States,Sylhet,93.6,True,Product met all expectations.,183.15,0
7357,Hasan P.,23,93346.0,2011-02-15,Sales,Female,Bangladesh,Dhaka,86.3,False,No Review,247.47,1
2066,Diana A.,48,83926.0,2020-03-29,HR,Male,Bangladesh,Khulna,80.6,True,Would buy again without hesitation.,254.75,0
12858,Grace L.,57,44766.0,2015-10-06,Engineering,Male,United Kingdom,Dhaka,121.0,False,Delivery was fast and packaging great.,452.78,0
5838,Eve C.,55,88144.0,2010-09-12,Engineering,Female,United Kingdom,Dhaka,117.3,False,Product met all expectations.,153.34,0
3220,Diana E.,42,92451.0,2014-11-23,HR,Male,Bangladesh,Chittagong,106.0,False,Would buy again without hesitation.,293.32,0
9556,Bob A.,63,78797.0,2022-02-18,Sales,Male,United Kingdom,Chittagong,75.0,True,Good value for money.,495.64,0
19723,Hasan O.,18,89578.0,2017-06-30,Marketing,Male,Bangladesh,Rajshahi,100.0,False,Delivery was fast and packaging great.,81.07,0
15736,Hasan F.,57,30127.0,2024-09-13,Marketing,Male,Bangladesh,Sylhet,102.9,False,No Review,498.61,0
5514,Alice R.,38,75126.0,2023-06-15,Engineering,Male,United States,Sylhet,73.9,True,Delivery was fast and packaging great.,202.34,0
12086,Hasan W.,27,43825.0,2014-02-03,Engineering,Female,United States,Sylhet,86.6,True,No Review,276.06,0
8156,Alice Z.,31,71414.0,2024-10-06,HR,Male,Bangladesh,Sylhet,87.5,False,Would buy again without hesitation.,243.84,0
16402,John K.,27,101010.0,2019-05-14,HR,Male,United States,Dhaka,106.0,True,"Excellent product, highly recommend!",136.59,0
